4206.07	8008	0.525234	32
6520.94	16016	0.407152	32
11061.7	32032	0.345333	32
20126.4	64064	0.314161	32
38279.9	128128	0.298763	32
2423.89	8008	0.302683	64
6207.81	16016	0.387601	64
10960.5	32032	0.342173	64
20252.1	64064	0.316123	64
39819.4	128128	0.310778	64
2484.86	8008	0.310297	128
6675.95	16016	0.41683	128
11128.5	32032	0.347418	128
20088.1	64064	0.313563	128
39493.1	128128	0.308231	128
2756.82	8008	0.344259	256
7210.06	16016	0.450179	256
11455.6	32032	0.357631	256
20427.8	64064	0.318865	256
39112.1	128128	0.305258	256
3025.64	8008	0.377827	512
7102.97	16016	0.443492	512
11691	32032	0.364979	512
20709.5	64064	0.323262	512
39343.1	128128	0.307061	512
