501  11
1.515 1.52
C	b0	maxLength	maxGain	maxGain[dB]
0.0191	1.51512	127.473	52.4986	133
0.0192	1.51512	126.809	52.466	134
0.0193	1.51512	126.152	52.434	135
0.0194	1.51512	125.502	52.401	136
0.0195	1.51512	124.859	52.3675	137
0.0196	1.51512	124.222	52.3346	138
0.0197	1.51512	123.591	52.3017	139
0.0198	1.51512	122.967	52.2682	140
0.0199	1.51512	122.35	52.2335	141
0.02	1.51512	121.738	52.1973	142
0.019	1.51513	128.144	52.5682	143
0.0191	1.51513	127.473	52.5345	144
0.0192	1.51513	126.809	52.5018	145
0.0193	1.51513	126.152	52.4697	146
0.0194	1.51513	125.502	52.4365	147
0.0195	1.51513	124.859	52.4029	148
0.0196	1.51513	124.222	52.3699	149
0.0197	1.51513	123.591	52.3368	150
0.0198	1.51513	122.967	52.3031	151
0.0199	1.51513	122.349	52.2684	152
0.02	1.51513	121.738	52.232	153
0.019	1.51514	128.144	52.6044	154
0.0191	1.51514	127.473	52.5706	155
0.0192	1.51514	126.809	52.5377	156
0.0193	1.51514	126.152	52.5055	157
0.0194	1.51514	125.502	52.4722	158
0.0195	1.51514	124.859	52.4384	159
0.0196	1.51514	124.222	52.4052	160
0.0197	1.51514	123.591	52.3721	161
0.0198	1.51514	122.967	52.3383	162
0.0199	1.51514	122.349	52.3034	163
0.02	1.51514	121.738	52.2668	164
0.019	1.51515	128.144	52.6407	165
0.0191	1.51515	127.473	52.6068	166
0.0192	1.51515	126.809	52.5738	167
0.0193	1.51515	126.152	52.5414	168
0.0194	1.51515	125.502	52.508	169
0.0195	1.51515	124.858	52.474	170
0.0196	1.51515	124.222	52.4408	171
0.0197	1.51515	123.591	52.4075	172
0.0198	1.51515	122.967	52.3735	173
0.0199	1.51515	122.349	52.3385	174
0.02	1.51515	121.738	52.3018	175
0.019	1.51516	128.143	52.6772	176
0.0191	1.51516	127.473	52.6432	177
0.0192	1.51516	126.809	52.61	178
0.0193	1.51516	126.152	52.5775	179
0.0194	1.51516	125.502	52.5439	180
0.0195	1.51516	124.858	52.5099	181
0.0196	1.51516	124.221	52.4765	182
0.0197	1.51516	123.591	52.443	183
0.0198	1.51516	122.967	52.4089	184
0.0199	1.51516	122.349	52.3738	185
0.02	1.51516	121.737	52.3369	186
0.019	1.51517	128.143	52.7139	187
0.0191	1.51517	127.473	52.6797	188
0.0192	1.51517	126.809	52.6464	189
0.0193	1.51517	126.152	52.6138	190
0.0194	1.51517	125.502	52.58	191
0.0195	1.51517	124.858	52.5459	192
0.0196	1.51517	124.221	52.5123	193
0.0197	1.51517	123.591	52.4787	194
0.0198	1.51517	122.967	52.4445	195
0.0199	1.51517	122.349	52.4092	196
0.02	1.51517	121.737	52.3722	197
0.019	1.51518	128.143	52.7508	198
0.0191	1.51518	127.472	52.7164	199
0.0192	1.51518	126.809	52.6829	200
0.0193	1.51518	126.152	52.6502	201
0.0194	1.51518	125.502	52.6163	202
0.0195	1.51518	124.858	52.582	203
0.0196	1.51518	124.221	52.5483	204
0.0197	1.51518	123.591	52.5146	205
0.0198	1.51518	122.967	52.4802	206
0.0199	1.51518	122.349	52.4447	207
0.02	1.51518	121.737	52.4076	208
0.019	1.51519	128.143	52.7877	209
0.0191	1.51519	127.472	52.7532	210
0.0192	1.51519	126.808	52.7196	211
0.0193	1.51519	126.152	52.6867	212
0.0194	1.51519	125.501	52.6527	213
0.0195	1.51519	124.858	52.6183	214
0.0196	1.51519	124.221	52.5844	215
0.0197	1.51519	123.591	52.5505	216
0.0198	1.51519	122.966	52.516	217
0.0199	1.51519	122.349	52.4804	218
0.02	1.51519	121.737	52.4432	219
0.019	1.5152	128.143	52.8249	220
0.0191	1.5152	127.472	52.7902	221
0.0192	1.5152	126.808	52.7565	222
0.0193	1.5152	126.151	52.7234	223
0.0194	1.5152	125.501	52.6893	224
0.0195	1.5152	124.858	52.6547	225
0.0196	1.5152	124.221	52.6207	226
0.0197	1.5152	123.59	52.5867	227
0.0198	1.5152	122.966	52.552	228
0.0199	1.5152	122.349	52.5162	229
0.02	1.5152	121.737	52.4789	230
0.019	1.51521	128.143	52.8622	231
0.0191	1.51521	127.472	52.8274	232
0.0192	1.51521	126.808	52.7935	233
0.0193	1.51521	126.151	52.7603	234
0.0194	1.51521	125.501	52.726	235
0.0195	1.51521	124.858	52.6912	236
0.0196	1.51521	124.221	52.6571	237
0.0197	1.51521	123.59	52.623	238
0.0198	1.51521	122.966	52.5882	239
0.0199	1.51521	122.348	52.5522	240
0.02	1.51521	121.737	52.5147	241
0.019	1.51522	128.143	52.8996	242
0.0191	1.51522	127.472	52.8647	243
0.0192	1.51522	126.808	52.8307	244
0.0193	1.51522	126.151	52.7973	245
0.0194	1.51522	125.501	52.7629	246
0.0195	1.51522	124.858	52.728	247
0.0196	1.51522	124.221	52.6937	248
0.0197	1.51522	123.59	52.6594	249
0.0198	1.51522	122.966	52.6245	250
0.0199	1.51522	122.348	52.5884	251
0.02	1.51522	121.737	52.5507	252
0.019	1.51523	128.142	52.9372	253
0.0191	1.51523	127.472	52.9021	254
0.0192	1.51523	126.808	52.868	255
0.0193	1.51523	126.151	52.8345	256
0.0194	1.51523	125.501	52.7999	257
0.0195	1.51523	124.857	52.7648	258
0.0196	1.51523	124.22	52.7304	259
0.0197	1.51523	123.59	52.696	260
0.0198	1.51523	122.966	52.6609	261
0.0199	1.51523	122.348	52.6247	262
0.02	1.51523	121.737	52.5868	263
0.019	1.51524	128.142	52.975	264
0.0191	1.51524	127.472	52.9398	265
0.0192	1.51524	126.808	52.9055	266
0.0193	1.51524	126.151	52.8719	267
0.0194	1.51524	125.501	52.8371	268
0.0195	1.51524	124.857	52.8019	269
0.0196	1.51524	124.22	52.7673	270
0.0197	1.51524	123.59	52.7328	271
0.0198	1.51524	122.966	52.6975	272
0.0199	1.51524	122.348	52.6612	273
0.02	1.51524	121.736	52.6231	274
0.019	1.51525	128.142	53.013	275
0.0191	1.51525	127.471	52.9775	276
0.0192	1.51525	126.808	52.9431	277
0.0193	1.51525	126.151	52.9094	278
0.0194	1.51525	125.501	52.8744	279
0.0195	1.51525	124.857	52.8391	280
0.0196	1.51525	124.22	52.8044	281
0.0197	1.51525	123.59	52.7697	282
0.0198	1.51525	122.966	52.7343	283
0.0199	1.51525	122.348	52.6978	284
0.02	1.51525	121.736	52.6595	285
0.019	1.51526	128.142	53.0511	286
0.0191	1.51526	127.471	53.0155	287
0.0192	1.51526	126.808	52.9809	288
0.0193	1.51526	126.151	52.947	289
0.0194	1.51526	125.5	52.9119	290
0.0195	1.51526	124.857	52.8765	291
0.0196	1.51526	124.22	52.8416	292
0.0197	1.51526	123.59	52.8067	293
0.0198	1.51526	122.966	52.7712	294
0.0199	1.51526	122.348	52.7345	295
0.02	1.51526	121.736	52.6961	296
0.019	1.51527	128.142	53.0894	297
0.0191	1.51527	127.471	53.0537	298
0.0192	1.51527	126.807	53.0189	299
0.0193	1.51527	126.15	52.9848	300
0.0194	1.51527	125.5	52.9496	301
0.0195	1.51527	124.857	52.914	302
0.0196	1.51527	124.22	52.879	303
0.0197	1.51527	123.59	52.8439	304
0.0198	1.51527	122.965	52.8082	305
0.0199	1.51527	122.348	52.7714	306
0.02	1.51527	121.736	52.7329	307
0.019	1.51528	128.142	53.1279	308
0.0191	1.51528	127.471	53.092	309
0.0192	1.51528	126.807	53.0571	310
0.0193	1.51528	126.15	53.0228	311
0.0194	1.51528	125.5	52.9875	312
0.0195	1.51528	124.857	52.9517	313
0.0196	1.51528	124.22	52.9165	314
0.0197	1.51528	123.589	52.8813	315
0.0198	1.51528	122.965	52.8455	316
0.0199	1.51528	122.348	52.8085	317
0.02	1.51528	121.736	52.7698	318
0.019	1.51529	128.142	53.1665	319
0.0191	1.51529	127.471	53.1304	320
0.0192	1.51529	126.807	53.0954	321
0.0193	1.51529	126.15	53.061	322
0.0194	1.51529	125.5	53.0255	323
0.0195	1.51529	124.857	52.9895	324
0.0196	1.51529	124.22	52.9542	325
0.0197	1.51529	123.589	52.9189	326
0.0198	1.51529	122.965	52.8829	327
0.0199	1.51529	122.347	52.8457	328
0.02	1.51529	121.736	52.8069	329
0.019	1.5153	128.142	53.2052	330
0.0191	1.5153	127.471	53.1691	331
0.0192	1.5153	126.807	53.1339	332
0.0193	1.5153	126.15	53.0994	333
0.0194	1.5153	125.5	53.0637	334
0.0195	1.5153	124.856	53.0275	335
0.0196	1.5153	124.22	52.9921	336
0.0197	1.5153	123.589	52.9566	337
0.0198	1.5153	122.965	52.9204	338
0.0199	1.5153	122.347	52.8831	339
0.02	1.5153	121.736	52.8441	340
0.019	1.51531	128.141	53.2442	341
0.0191	1.51531	127.471	53.2079	342
0.0192	1.51531	126.807	53.1725	343
0.0193	1.51531	126.15	53.1379	344
0.0194	1.51531	125.5	53.102	345
0.0195	1.51531	124.856	53.0657	346
0.0196	1.51531	124.219	53.0301	347
0.0197	1.51531	123.589	52.9945	348
0.0198	1.51531	122.965	52.9582	349
0.0199	1.51531	122.347	52.9207	350
0.02	1.51531	121.736	52.8814	351
0.019	1.51532	128.141	53.2834	352
0.0191	1.51532	127.471	53.2468	353
0.0192	1.51532	126.807	53.2113	354
0.0193	1.51532	126.15	53.1765	355
0.0194	1.51532	125.5	53.1405	356
0.0195	1.51532	124.856	53.1041	357
0.0196	1.51532	124.219	53.0683	358
0.0197	1.51532	123.589	53.0325	359
0.0198	1.51532	122.965	52.996	360
0.0199	1.51532	122.347	52.9584	361
0.02	1.51532	121.735	52.919	362
0.019	1.51533	128.141	53.3227	363
0.0191	1.51533	127.47	53.286	364
0.0192	1.51533	126.807	53.2503	365
0.0193	1.51533	126.15	53.2154	366
0.0194	1.51533	125.5	53.1792	367
0.0195	1.51533	124.856	53.1426	368
0.0196	1.51533	124.219	53.1067	369
0.0197	1.51533	123.589	53.0707	370
0.0198	1.51533	122.965	53.0341	371
0.0199	1.51533	122.347	52.9963	372
0.02	1.51533	121.735	52.9567	373
0.019	1.51534	128.141	53.3622	374
0.0191	1.51534	127.47	53.3253	375
0.0192	1.51534	126.806	53.2895	376
0.0193	1.51534	126.15	53.2544	377
0.0194	1.51534	125.499	53.218	378
0.0195	1.51534	124.856	53.1813	379
0.0196	1.51534	124.219	53.1452	380
0.0197	1.51534	123.589	53.1091	381
0.0198	1.51534	122.965	53.0723	382
0.0199	1.51534	122.347	53.0343	383
0.02	1.51534	121.735	52.9946	384
0.019	1.51535	128.141	53.4019	385
0.0191	1.51535	127.47	53.3649	386
0.0192	1.51535	126.806	53.3289	387
0.0193	1.51535	126.149	53.2935	388
0.0194	1.51535	125.499	53.2571	389
0.0195	1.51535	124.856	53.2201	390
0.0196	1.51535	124.219	53.1839	391
0.0197	1.51535	123.589	53.1476	392
0.0198	1.51535	122.964	53.1106	393
0.0199	1.51535	122.347	53.0725	394
0.02	1.51535	121.735	53.0326	395
0.019	1.51536	128.141	53.4418	396
0.0191	1.51536	127.47	53.4046	397
0.0192	1.51536	126.806	53.3684	398
0.0193	1.51536	126.149	53.3329	399
0.0194	1.51536	125.499	53.2963	400
0.0195	1.51536	124.856	53.2592	401
0.0196	1.51536	124.219	53.2228	402
0.0197	1.51536	123.588	53.1863	403
0.0198	1.51536	122.964	53.1492	404
0.0199	1.51536	122.347	53.1109	405
0.02	1.51536	121.735	53.0708	406
0.019	1.51537	128.141	53.4818	407
0.0191	1.51537	127.47	53.4444	408
0.0192	1.51537	126.806	53.4081	409
0.0193	1.51537	126.149	53.3725	410
0.0194	1.51537	125.499	53.3357	411
0.0195	1.51537	124.856	53.2984	412
0.0196	1.51537	124.219	53.2618	413
0.0197	1.51537	123.588	53.2252	414
0.0198	1.51537	122.964	53.1879	415
0.0199	1.51537	122.346	53.1494	416
0.02	1.51537	121.735	53.1092	417
0.019	1.51538	128.14	53.522	418
0.0191	1.51538	127.47	53.4845	419
0.0192	1.51538	126.806	53.448	420
0.0193	1.51538	126.149	53.4122	421
0.0194	1.51538	125.499	53.3752	422
0.0195	1.51538	124.855	53.3378	423
0.0196	1.51538	124.219	53.301	424
0.0197	1.51538	123.588	53.2643	425
0.0198	1.51538	122.964	53.2268	426
0.0199	1.51538	122.346	53.1882	427
0.02	1.51538	121.735	53.1477	428
0.019	1.51539	128.14	53.5625	429
0.0191	1.51539	127.47	53.5247	430
0.0192	1.51539	126.806	53.4881	431
0.0193	1.51539	126.149	53.4521	432
0.0194	1.51539	125.499	53.415	433
0.0195	1.51539	124.855	53.3773	434
0.0196	1.51539	124.218	53.3404	435
0.0197	1.51539	123.588	53.3035	436
0.0198	1.51539	122.964	53.2659	437
0.0199	1.51539	122.346	53.2271	438
0.02	1.51539	121.735	53.1864	439
0.019	1.5154	128.14	53.6031	440
0.0191	1.5154	127.469	53.5651	441
0.0192	1.5154	126.806	53.5283	442
0.0193	1.5154	126.149	53.4922	443
0.0194	1.5154	125.499	53.4549	444
0.0195	1.5154	124.855	53.4171	445
0.0196	1.5154	124.218	53.38	446
0.0197	1.5154	123.588	53.3429	447
0.0198	1.5154	122.964	53.3051	448
0.0199	1.5154	122.346	53.2661	449
0.02	1.5154	121.734	53.2253	450
0.019	1.51541	128.14	53.6439	451
0.0191	1.51541	127.469	53.6058	452
0.0192	1.51541	126.806	53.5688	453
0.0193	1.51541	126.149	53.5325	454
0.0194	1.51541	125.499	53.495	455
0.0195	1.51541	124.855	53.4571	456
0.0196	1.51541	124.218	53.4198	457
0.0197	1.51541	123.588	53.3825	458
0.0198	1.51541	122.964	53.3445	459
0.0199	1.51541	122.346	53.3054	460
0.02	1.51541	121.734	53.2644	461
0.019	1.51542	128.14	53.6849	462
0.0191	1.51542	127.469	53.6466	463
0.0192	1.51542	126.805	53.6094	464
0.0193	1.51542	126.149	53.5729	465
0.0194	1.51542	125.498	53.5353	466
0.0195	1.51542	124.855	53.4972	467
0.0196	1.51542	124.218	53.4598	468
0.0197	1.51542	123.588	53.4223	469
0.0198	1.51542	122.964	53.3841	470
0.0199	1.51542	122.346	53.3448	471
0.02	1.51542	121.734	53.3036	472
0.019	1.51543	128.14	53.7261	473
0.0191	1.51543	127.469	53.6876	474
0.0192	1.51543	126.805	53.6503	475
0.0193	1.51543	126.148	53.6136	476
0.0194	1.51543	125.498	53.5758	477
0.0195	1.51543	124.855	53.5375	478
0.0196	1.51543	124.218	53.4999	479
0.0197	1.51543	123.587	53.4622	480
0.0198	1.51543	122.963	53.4239	481
0.0199	1.51543	122.346	53.3844	482
0.02	1.51543	121.734	53.343	483
0.019	1.51544	128.14	53.7674	484
0.0191	1.51544	127.469	53.7288	485
0.0192	1.51544	126.805	53.6913	486
0.0193	1.51544	126.148	53.6545	487
0.0194	1.51544	125.498	53.6165	488
0.0195	1.51544	124.855	53.5779	489
0.0196	1.51544	124.218	53.5402	490
0.0197	1.51544	123.587	53.5024	491
0.0198	1.51544	122.963	53.4639	492
0.0199	1.51544	122.345	53.4241	493
0.02	1.51544	121.734	53.3826	494
0.019	1.51545	128.14	53.809	495
0.0191	1.51545	127.469	53.7702	496
0.0192	1.51545	126.805	53.7325	497
0.0193	1.51545	126.148	53.6955	498
0.0194	1.51545	125.498	53.6573	499
0.0195	1.51545	124.855	53.6186	500
0.0196	1.51545	124.218	53.5807	501
0.0197	1.51545	123.587	53.5427	502
0.0198	1.51545	122.963	53.5041	503
0.0199	1.51545	122.345	53.4641	504
0.02	1.51545	121.734	53.4224	505
0.019	1.51546	128.139	53.8508	506
0.0191	1.51546	127.469	53.8118	507
0.0192	1.51546	126.805	53.7739	508
0.0193	1.51546	126.148	53.7368	509
0.0194	1.51546	125.498	53.6984	510
0.0195	1.51546	124.854	53.6595	511
0.0196	1.51546	124.218	53.6214	512
0.0197	1.51546	123.587	53.5833	513
0.0198	1.51546	122.963	53.5444	514
0.0199	1.51546	122.345	53.5043	515
0.02	1.51546	121.734	53.4623	516
0.019	1.51547	128.139	53.8928	517
0.0191	1.51547	127.469	53.8536	518
0.0192	1.51547	126.805	53.8155	519
0.0193	1.51547	126.148	53.7782	520
0.0194	1.51547	125.498	53.7396	521
0.0195	1.51547	124.854	53.7006	522
0.0196	1.51547	124.217	53.6623	523
0.0197	1.51547	123.587	53.624	524
0.0198	1.51547	122.963	53.5849	525
0.0199	1.51547	122.345	53.5446	526
0.02	1.51547	121.734	53.5025	527
0.019	1.51548	128.139	53.935	528
0.0191	1.51548	127.468	53.8956	529
0.0192	1.51548	126.805	53.8573	530
0.0193	1.51548	126.148	53.8198	531
0.0194	1.51548	125.498	53.781	532
0.0195	1.51548	124.854	53.7418	533
0.0196	1.51548	124.217	53.7034	534
0.0197	1.51548	123.587	53.6649	535
0.0198	1.51548	122.963	53.6256	536
0.0199	1.51548	122.345	53.5852	537
0.02	1.51548	121.733	53.5428	538
0.019	1.51549	128.139	53.9774	539
0.0191	1.51549	127.468	53.9378	540
0.0192	1.51549	126.804	53.8993	541
0.0193	1.51549	126.148	53.8616	542
0.0194	1.51549	125.497	53.8227	543
0.0195	1.51549	124.854	53.7833	544
0.0196	1.51549	124.217	53.7446	545
0.0197	1.51549	123.587	53.7059	546
0.0198	1.51549	122.963	53.6665	547
0.0199	1.51549	122.345	53.6259	548
0.02	1.51549	121.733	53.5833	549
0.019	1.5155	128.139	54.02	550
0.0191	1.5155	127.468	53.9802	551
0.0192	1.5155	126.804	53.9416	552
0.0193	1.5155	126.147	53.9037	553
0.0194	1.5155	125.497	53.8645	554
0.0195	1.5155	124.854	53.825	555
